time,target_speed,current_speed,throttle,brake
13.9768,2,1.97021,0,0
14.0278,1.99998,1.93702,0,0
14.0801,2.00001,1.90322,0,0
14.1393,1.99996,1.8506,0.309818,0
14.194,1.99983,1.81467,0.327362,0
14.2425,1.99982,1.79624,0.340254,0
14.2844,1.99986,1.81072,0.337128,0
14.3375,1.99996,1.86589,0.315354,0
14.3807,1.99993,1.91041,0,0
14.4389,2.00009,2.00872,0,0
14.4944,2.00006,2.0359,0,0
14.5491,2.00005,2.02799,0,0
14.5999,1.99999,2.01034,0,0
14.6544,1.9999,1.96856,0,0
14.7043,1.99996,1.94157,0,0
14.756,1.99993,1.89476,0.342975,0
14.8092,1.99989,1.85978,0.359011,0
14.8589,1.99988,1.83876,0.371219,0
14.908,1.99992,1.86332,0.357912,0
14.9636,1.99992,1.93377,0,0
15.0181,2.0001,2.02273,0,0
15.0646,2.00002,2.06095,0,0
15.1142,2.00002,2.06912,0,0
15.1844,2.00004,2.04129,0,0
15.245,2.00006,2.00898,0,0
15.2909,1.99994,1.97002,0,0
15.3457,1.99996,1.92948,0,0
15.3962,1.99991,1.88785,0.376612,0
15.4498,1.99982,1.84857,0.397513,0
15.4992,2.00008,1.82788,0.409075,0
15.5544,1.99994,1.86063,0.390763,0
15.638,2.00009,1.98384,0,0
15.6799,2.00002,2.06174,0,0
15.73,1.99998,2.14764,0.274155,0
15.779,1.99988,2.1609,0.281991,0
15.8324,2.00005,2.17269,0.268431,0
15.8806,2.00005,2.17269,0.261561,0
15.9275,2.00005,2.23823,0.206639,0
15.9757,1.99994,2.26929,0.190814,0
16.0303,1.99994,2.32103,0.148815,0
16.0849,1.99992,2.34726,0.127227,0
16.1268,2,2.36922,0.0993873,0
16.182,2,2.37472,0.0800516,0
16.2287,2.00004,2.377,0.0577024,0
16.2815,2.00004,2.36791,0.0419294,0
16.3404,2.00002,2.34772,0.0308485,0
16.377,2,2.32696,0.0180411,0
16.426,1.99988,2.30176,0.00925031,0
16.4753,1.99994,2.25929,0.0125399,0
16.5258,1.99998,2.23289,0.0021945,0
16.5798,2,2.17466,0.019902,0
16.6358,2,2.17466,0,0
16.68,1.99994,2.0917,0,0
16.7265,1.99994,2.06697,0,0
16.7891,2.00002,2.00953,0,0
16.8473,2.00008,1.97452,0,0
16.9047,2.00012,1.92077,0,0
16.939,2.00012,1.92077,0,0
17.0036,2.0001,1.8343,0.136773,0
17.0564,2.0001,1.80836,0.138427,0
17.1118,2.00006,1.77125,0.167364,0
17.1602,2.00006,1.77125,0.169969,0
17.2094,2.00005,1.77469,0.181344,0
17.2616,2.00005,1.77469,0.195904,0
17.3109,1.99991,1.80986,0.185421,0
17.3769,1.99993,1.83022,0.193579,0
17.418,2,1.86631,0.185374,0
17.4791,1.99996,1.88883,0.188863,0
17.5324,1.9999,1.92621,0,0
17.6058,1.99997,1.95679,0,0
17.6519,2,1.95217,0,0
17.7059,1.99989,1.93254,0,0
17.7621,1.99996,1.89592,0.21061,0
17.8135,1.99994,1.86311,0.228137,0
17.8695,1.99992,1.83917,0.242781,0
17.9194,1.99993,1.85002,0.237875,0
17.9701,2,1.88133,0.228886,0
18.0289,1.9999,1.92545,0,0
